晚翠琴 (月深光清) , LH_piano_066, RH_blade_001,
千里苍鹰 (送春日) , RH_spear_088b, RH_spear_088b,
玄月辉 (风月斋) , RH_knife_009, RH_knife_009,
天弦画柱·镇 , RH_spear_104c, RH_spear_104c,
鲸波荡世·知梦剑 (孤清化雪) (孤清化雪·一) , RH_sword_327, RH_sword_327,
青山霁景 (惊铩) , RH_bow_085, RH_bow_085,
言诚琴 (雪霜落) , LH_piano_028, RH_blade_014,
驭鲲槊 (飘) , RH_spear_066, RH_spear_066,
鹰扬枪 (年年) , RH_Spear_005, RH_Spear_005,
越阡 (刺锋) , San_028, San_028,
寻踪觅宝·曙霞枪 (送春日) , RH_spear_088b, RH_spear_088b,
寻踪觅宝·悲千古 (独领残兵) , LH_shield_037, RH_pike_050,
菩提正觉 (七宝华生) , RH_wand_131, RH_wand_131,
气吞山河·潜师之击 (芳草姑苏) , RH_bow_009, RH_bow_009,
金丝箭弩 (夜归龙) , RH_bow_022, RH_bow_022,
伏凰 (云遮眉) , RH_bow_001, RH_bow_001,
独步天下·馥瑶对剑 (摇落千秋) , RH_sword_149, RH_sword_149,
神农赭笔 (二三子) , RH_brush_044, RH_brush_044,
志若鸿鹄·霜凤双剑 (昨日烦忧) (昨日烦忧·一) , RH_sword_208, RH_sword_208,
炳凝笔 (无清风) (无清风·一) , RH_brush_106b, RH_brush_106b,
靖平九州·燕支棒 (豪音飞声) (豪音飞声·一) , Lh_stick_005, RH_flagon_046,
寻踪觅宝·关河千重 (再碎铁衣) , RH_spear_107, RH_spear_107,
侍堂 (水汽冰镜) , LH_shield_004, RH_pike_004,
净无烟 (神仙) , RH_sword_030, RH_sword_030,
大厨天香串·火候 (高豪) , RH_knife_032, RH_knife_032,
寻踪觅宝·笛风 (再碎铁衣) , RH_spear_107, RH_spear_107,
涧谷远香 (横吐诺然) (横吐诺然·一) (横吐诺然·四) , D011069b, D011069b,
翩燕棍 (开国戒持) (开国戒持·一) (开国戒持·四) , RH_wand_111b, RH_wand_111b,
初一 (唱彻金河) , D011094, D011094,
沉沙风卷 , LH_shield_029c, RH_pike_029c, C_苍云橙武盾01, C_苍云橙武刀01
祖洲仙剑 (永昼) , RH_sword_022, RH_sword_022,
雪翎对剑 (落日风) (落日风·一) , RH_Sword_069, RH_Sword_069,
戍微 (荼妄) , RH_spear_125, RH_spear_125,
画上折枝 , Lh_stick_011c, RH_flagon_047c, G_丐帮90级小橙武棍01, G_丐帮90级小橙武酒坛01
昆扬琴 (悬流) , LH_piano_070, RH_blade_001,
拥鼻吟 (一朝) , D011013, D011013,
羲皇剑 (狂戏) , D007171, D007171,
毒羽烟 (一点千古意) , Lh_stick_008, RH_flagon_001,
破损不堪的装备 (不说不知) , RH_spear_035, RH_spear_035,
侠少盾刀 (载地) , LH_shield_002, RH_pike_002,
花落酒 (定山河) , LH_BDdagger_002, RH_BDknife_002,
太上忘情 , D011063, D011063, , D011063五毒_毒经
傲骨寒芒·江风重剑 (雪落千山) , D007396, D007396,
镜飞弩 (灵台雪饮) , RH_bow_040b, RH_bow_040b,
犀首叹 (无挂牵) , Lh_stick_002, RH_flagon_008,
濯津笛 (涤粹) , D011060, D011060,
息夏 (飞骨纤烟) , RH_wand_102b, RH_wand_102b,
陵遥剑 (造化圆通) , RH_sword_230, RH_sword_230,
锥枪 (若是) , RH_spear_032, RH_spear_032,
华星 (碧千帆) , LH_shield_003, RH_pike_003,
逐鹿天下·怅翠双剑 (孤痴) , D007143, D007143,
临池 (贤王) , RH_brush_011, RH_brush_011,
岭上雪 (红颜吹度·二) (红颜吹度·三) (红颜吹度·五) , RH_brush_110, RH_brush_110,
苏微双剑 (笑说有恨) , RH_sword_231, RH_sword_231,
傲视天下·霄潮重剑 (克晓) , D007313, D007313,
赤胆横戈·游日笔 (月饮怀) (月饮怀·一) , RH_brush_115, RH_brush_115,
梦芽 (欲说千年) , Lh_stick_007, RH_flagon_011,
长河水镜 (星蕴何夕) , D011108, D011108,
删除的装备 (相依) , RH_Sword_045, RH_Sword_045,
斩月九阴枪 (送春日) , RH_spear_088b, RH_spear_088b,
癸湘双剑 (倩魂觉) , RH_sword_272, RH_sword_272,
难离鸯 (僧渡) , D011003, D011003,
霜月明 , Lh_stick_005, RH_flagon_007, Lh_stick_丐帮棍, RH_flagon_酒壶
沧海狂澜·藏心轻剑 (照翩跹) , RH_sword_338, RH_sword_338,
无生 (云遮眉) , RH_bow_001, RH_bow_001,
桃华 (光逝) , RH_Sword_027, RH_Sword_027,
申甲刀 (碧千帆) , LH_shield_003, RH_pike_003,
酉羽双兵 (相依) , RH_Sword_045, RH_Sword_045,
荒城鬼境·桃枝剑 (限光) , RH_sword_286, RH_sword_286,
度清景 (红颜吹度) (红颜吹度·一) (红颜吹度·四) , RH_brush_110b, RH_brush_110b,
我武惟扬·同德笔 (好鸟吟风) (好鸟吟风·一) , RH_brush_099b, RH_brush_099b,
碧血丹心·暝竹笛 (虞关) (虞关·一) , D011102, D011102,
妆镜琴 (若言有声) , LH_piano_002, RH_blade_002,
九州纵横·吞江棍 (毅魂) (毅魂·一) , Lh_stick_036, RH_flagon_072,
测试装备 , RH_wand_092, RH_wand_092,
浮生若梦 (今朝相伴) , D011001, D011001,
始观 (揽中州) , RH_knife_034, RH_knife_034,
笙夜 (动群伦) , LH_piano_020, RH_blade_001,
醉解敌颅·卷河伞 (赤月散英) (赤月散英·一) , San_023, San_023,
方江济阔 (双人调琴) , LH_piano_043, RH_blade_018,
破功重剑 (愚公) , D007185, D007185,
问月重剑 (侵不平) , D007374, D007374,
存定四极 (东风扫) (东风扫·一) (东风扫·二) (东风扫·三) , RH_bow_052, RH_bow_052,
碧血丹心·萧艾笔 (倾晗) (倾晗·一) , RH_brush_143, RH_brush_143,
盘古继宓 (待秋风) , LH_shield_005, RH_pike_005,
舜壤刀 (伤中绝) , LH_BDdagger_001, RH_BDknife_001,
竞技场测试用怅翠双剑 (白头人) , RH_sword_102, RH_sword_102,
淑人君子 (飞渡几字) , RH_sword_103, RH_sword_103,
相思锦年·庭鸳笛 (蜂蝶潮涌) , D011083, D011083,
雷喧 (绝域苍茫) , LH_shield_087, RH_pike_087,
流凌剑 (苍生神鬼) (苍生神鬼·一) , RH_Sword_093, RH_Sword_093,
五行棍·无情 (玄风) , RH_wand_005, RH_wand_005,
剑试天下·封心刀 (野浮光) , RH_knife_003, RH_knife_003,
流思刀 (曲江封塞) , LH_shield_059, RH_pike_060,
静曹 (云燕成双) , San_002, San_002,
壬相棍 (今生苦) , RH_wand_122, RH_wand_122,
断云烟 (乘龙行云) , LH_shield_079, RH_pike_079,
朱华 (独领残兵) , LH_shield_037, RH_pike_050,
纵横天下·岳峙双刀 (揽中州) , RH_knife_034, RH_knife_034,
怀古意 (寒江) , RH_spear_133, RH_spear_133,
云间鹊 (琼枝玉令) , RH_brush_157, RH_brush_157,
乱影枪 (昊芒) , RH_spear_109, RH_spear_109,
壬雪盾刀 (天绝官) , LH_shield_051, RH_pike_052,
振衣笔 (不知吾身) , RH_brush_101, RH_brush_101,
青铁剑 (潘安) , RH_sword_003, RH_sword_003,
陵迟 (鬓云斑) , RH_bow_004, RH_bow_004,
交辉·煌 , RH_knife_055, RH_knife_055,
行不归 (千秋冷蕊) , D007406, D007406,
麟刺 (芳草姑苏) , RH_bow_009, RH_bow_009,
壬璧轻剑 (心随指) , RH_sword_229, RH_sword_229,
惧欲古笛 (奈何累) , D011004, D011004,
锦行 (云燕成双) , San_002, San_002,
浩气正宗·承道弯刀 (水汽冰镜) , LH_shield_004, RH_pike_004,
方天画戟 (不说不知) , RH_spear_035, RH_spear_035,
恨夜 (残月经风) , RH_bow_064, RH_bow_064,
仙璃枪 (送春日) , RH_spear_088b, RH_spear_088b,
锁雾 (今古) , RH_brush_068c, RH_brush_068c,
南桂双剑 (相依) , RH_Sword_045, RH_Sword_045,
天地化均 (人归绝景) (人归绝景·一) , RH_spear_094, RH_spear_094,
炎图皇兵 (寸隙流电) (寸隙流电) , RH_knife_026b, RH_knife_026b,
守云中 (妖督) , LH_shield_067, RH_pike_068,
鸳鸯 (追悔) , RH_Sword_023, RH_Sword_023,
东郊升日 (刺疆) , RH_knife_075, RH_knife_075,
桑梓远 (素娥冷) (素娥冷·一) , LH_shield_018, RH_pike_018,
鹤舞剑 (冥一相守) , RH_sword_256, RH_sword_256,
蛊波 (功成) , D011060b, D011060b,
庚遥琴 (道吾不还) , LH_piano_021, RH_blade_002,
角隐琴 (兴亡散序) , LH_piano_068, RH_blade_001,
昼野·流泉弓 (夜归龙) , RH_bow_022, RH_bow_022,
测试装备 , Lh_stick_003, RH_flagon_006,
青山白鸟 (颤缺) , Lh_stick_031, RH_flagon_067,
倚心 (飘零难寄) , RH_brush_152, RH_brush_152,
天狼噬 (秋水) , D007186, D007186,
瑶台笛 (横吐诺然) (横吐诺然·一) (横吐诺然·四) , D011069b, D011069b,
瀚海雄风·靖波笔 (烹茶) , RH_brush_046, RH_brush_046,
熠辰芒·煌天 , RH_knife_091c, RH_knife_091c, M_明教橙武_c01_HD, M_明教橙武_c01_HD
空木 (暴云) , LH_shield_001, RH_pike_001,
缀烟晚 (烟莱台) (烟莱台·一) , RH_sword_185, RH_sword_185,
星罗·月过霜满 (伤人欲) , RH_knife_017, RH_knife_017,
浮屠业火 , RH_wand_094, RH_wand_094,
庚辕刀 (伤人欲) , RH_knife_017, RH_knife_017,
赤雾 (待秋风) , LH_shield_005, RH_pike_005,
天策防御副本武器 (定爱) , RH_spear_041, RH_spear_041,
铜雀·水悠 (指上听) , LH_piano_003, RH_blade_003,
寻踪觅宝·无量 (高楼冥想) , RH_wand_120, RH_wand_120,
行信 (风归水) , LH_piano_032, RH_blade_018,
通暨 (功成) , D011060b, D011060b,
岳翰刀 (斑斑化碧) , LH_BDdagger_004, RH_BDknife_004,
神欺棍 (白璧青樱) , RH_wand_102, RH_wand_102,
青畴 (暴云) , LH_shield_001, RH_pike_001,
沧江揽月 , LH_piano_055, RH_blade_055, C_长歌80级小橙武琴_01, C_长歌80级小橙武剑_01
知止 (造化圆通) , RH_sword_230, RH_sword_230,
寻踪觅宝·紫塞 (百年涂炭) , RH_spear_123, RH_spear_123,
流萤 (白帝惊) , D011088, D011088,
和侠弩 (浆纱笼烛) , RH_bow_037, RH_bow_037,
连城赤心·伊豫剑 (绿野文章) (绿野文章·一) , RH_sword_164, RH_sword_164,
鸾歌重剑 (万顷春水) , D007302b, D007302b,
烽火八方·簇芩双剑 (琅琊秀色) (琅琊秀色·一) , RH_sword_247, RH_sword_247,
古朴的兽王剑 (喝问诸葛) , RH_sword_169b, RH_sword_169b,
锦绣河山·雷相弩 (沦陷野风) (沦陷野风·一) , RH_bow_056, RH_bow_056,
眠籁 (悲白) , LH_BDdagger_007, RH_BDknife_007,
破损不堪的装备 (尘缘) , RH_Sword_012, RH_Sword_012,
雷火 (云遮眉) , RH_bow_001, RH_bow_001,
卿卿·青骢 (指上听) , LH_piano_003, RH_blade_003,
观自在 (开国戒持) (开国戒持·一) (开国戒持·四) , RH_wand_111b, RH_wand_111b,
廻龙 (茅舍疏篱) , Lh_stick_006, RH_flagon_012,
西燕 (若言有声) , LH_piano_002, RH_blade_002,
壬道剑 (造化圆通) , RH_sword_230, RH_sword_230,
沧海奔流·晔紫双剑 (宝剑化碧) (宝剑化碧·一) , RH_sword_258, RH_sword_258,
龙威·蒲犁刀 (罗金雨) , RH_knife_024, RH_knife_024,
月照青枫·怡璐笛 (草间) (草间·一) , D011068, D011068,
残曳弩 (夙夜命星) , RH_bow_060, RH_bow_060,
曦忆 (念临州) , RH_knife_018, RH_knife_018,
烟霞引梦 (霜悦无声) , D011113, D011113,
柏青笔 (红颜吹度) (红颜吹度·一) (红颜吹度·四) , RH_brush_110b, RH_brush_110b,
青烟 (坐鹏翼) (坐鹏翼·一) , RH_sword_163b, RH_sword_163b,
沧海奔流·殚河双剑 (宝剑化碧) (宝剑化碧·一) , RH_sword_258, RH_sword_258,
煞·盈缺 , LH_piano_057, RH_blade_057, C_长歌95级橙武琴治疗红黑版_01HD, C_长歌95级橙武剑治疗红黑版_01HD
犀翠 (五更风) , D007127, D007127,
诛妖杖 (白银锢) , RH_wand_009, RH_wand_009,
亮银双刀 (别后) , D007111, D007111,
新亭侯 , LH_BDdagger_011, RH_BDknife_011, BD_霸刀橙武dangger011, BD_霸刀橙武knife011
水心刃 (随缘) , D007145, D007145,
恼人肠 (忆故园) , LH_piano_082, RH_blade_070,
望尘盾刀 (燕将去) , LH_shield_069, RH_pike_070,
鹿盈 (几度幻哉) , RH_sword_170b, RH_sword_170b,
龙禅锡杖 (遗忘) , RH_wand_029, RH_wand_029,
厄日 (对镜) , D011006, D011006,
秋江 (万籁声) , LH_piano_031, RH_blade_017,
九尾 (鸥盟) , RH_brush_029, RH_brush_029,
悲魔饥火 , RH_knife_025, RH_knife_025, RH_knife025_80, RH_knife025_80
妙法莲华·禅 , RH_wand_117, RH_wand_117,
和烟雨 (玉骨遥月) , RH_sword_332, RH_sword_332,
离歌 (道吾不还) , LH_piano_021, RH_blade_002,
仙水随洒 (灵台雪饮) , RH_bow_040b, RH_bow_040b,
独明轻剑 (腐草萤火) , RH_sword_141, RH_sword_141,
神农铲 (阿那含) , D010083, D010083,
过云客 (三昧逝) , RH_knife_074, RH_knife_074,
沧海奔流·兴颠笔 (青蛇碧风) (青蛇碧风·一) , RH_brush_130, RH_brush_130,
龙竹悦 (燕来) , RH_brush_074, RH_brush_074,
焚海 , RH_spear_013, RH_spear_013, , RH_spear_013焚海
双铁剑·随风 (囚徒) , RH_Sword_007, RH_Sword_007,
虚舟 (刺锋) , San_028, San_028,
炎武 (鬓云斑) , RH_bow_004, RH_bow_004,
枕戈待战·狂涛刀 (暝林) , LH_BDdagger_046, RH_BDknife_046,
颠狼 (欲说千年) , Lh_stick_007, RH_flagon_011,
莫霜笛 (蝉声未绝) , D011080, D011080,
度世梵辉 (闪环) , RH_wand_019, RH_wand_019,
少间刀 (定山河) , LH_BDdagger_002, RH_BDknife_002,
深溪双剑 (英雄事) , RH_sword_119, RH_sword_119,
寻踪觅宝·敛眉 (今时日文) , RH_brush_135, RH_brush_135,
留情 , D007197, D007197, , D007197留情
南征 (刺锋) , San_028, San_028,
芳津 (刺锋) , San_028, San_028,
颂道 (金箍) , RH_wand_014, RH_wand_014,
龙威·药罗笔 (百舌) , RH_brush_096, RH_brush_096,
王醉风云·宛畅轻剑 (坐鹏翼) (坐鹏翼·一) , RH_sword_163b, RH_sword_163b,
酉角双兵 (相依) , RH_Sword_045, RH_Sword_045,
川灵 (碎灰) , D011055, D011055,
炎清 (蚕鱼人烟·二) (蚕鱼人烟·三) (蚕鱼人烟·五) , RH_bow_049, RH_bow_049,
磬和禅动 (法净正觉) , RH_wand_136, RH_wand_136,
侠少轻剑 (天外天) , RH_sword_009, RH_sword_009,
销寒 (云遮眉) , RH_bow_001, RH_bow_001,
尚行玉笔 (不知吾身) , RH_brush_101, RH_brush_101,
霜留雨 (载地) , LH_shield_002, RH_pike_002,
玄木琴·凌风 (若言有声) , LH_piano_002, RH_blade_002,
雷鸣 (薄怀情) , RH_bow_035, RH_bow_035,
堕沙 (待秋风) , LH_shield_005, RH_pike_005,
珣梦椽笔 (流水) (流水·一) (流水·二) (流水·三) , RH_brush_097, RH_brush_097,
铁马·浮影双刀 (伤人欲) , RH_knife_017, RH_knife_017,
碧星 (云燕成双) , San_002, San_002,
妙行无量 (一沾殇) (一沾殇·一) , RH_wand_107, RH_wand_107,
雁庭双刀 (飒枫) , RH_knife_081, RH_knife_081,
绿水清音剑 (造物垂冰) , RH_sword_161b, RH_sword_161b,
枕戈待战·青溪笔 (迷霜) , RH_brush_145, RH_brush_145,
氲清歌 (闻人泣) , LH_piano_026, RH_blade_006,
破损的弩 (云遮眉) , RH_bow_001, RH_bow_001,
寻踪觅宝·天心 (独领残兵) , LH_shield_037, RH_pike_050,
丁野双刀 (玉楼琼舞) , RH_knife_013, RH_knife_013,
封狼居胥 (待秋风) , LH_shield_005, RH_pike_005,
宿沙双刀·璨 (已相顾) , RH_knife_077, RH_knife_077,
天地豪 (满宫竹青) (满宫竹青·一) , Lh_stick_010, RH_flagon_045,
青木长枪 (无视) , RH_spear_001, RH_spear_001,
云鹄双羽 (难觅) , D007046, D007046,
孤影 (紫气离魂) , RH_bow_070, RH_bow_070,
龙陂 (君来对语) , RH_sword_160, RH_sword_160,
秋时 (刺锋) , San_028, San_028,
鳞纹笔 (不断苔生) , RH_brush_101b, RH_brush_101b,
纵横天下·齐玉双剑 (千金苦思) , RH_sword_161, RH_sword_161,
蛟龙 (云燕成双) , San_002, San_002,
瀚海雄风·追羽剑 (安国) , D007220, D007220,
傲骨寒芒·棠落琴 (韶华故) , LH_piano_078, RH_blade_066,
旧梨双剑 (飞渡几字) , RH_sword_103, RH_sword_103,
弃智剑 (有穷无极) (有穷无极·一) (有穷无极·四) , RH_sword_196b, RH_sword_196b,
桑梓归 (碧千帆) , LH_shield_003, RH_pike_003,
炙锋枭战·雨愁双剑 (蓝羽青林) (蓝羽青林·一) , RH_sword_211, RH_sword_211,
寻踪觅宝·秋水月  (问棋语) , RH_brush_119, RH_brush_119,
鹊踏蔷薇 , San_042, San_042, , P_蓬莱90级小橙武伞关
沧溟 (一点千古意) , Lh_stick_008, RH_flagon_001,
红衣重剑 (见之) , D007177, D007177,
绿潮笛 (奈何累) , D011004, D011004,
须菩提棍 (开国戒持) (开国戒持·一) (开国戒持·四) , RH_wand_111b, RH_wand_111b,
迫微 (有穷无极·二) (有穷无极·三) (有穷无极·五) , RH_sword_196, RH_sword_196,
一棍乘月 (镜里花开) , Lh_stick_008, RH_flagon_019,
星夜 (芳草) , RH_sword_058, RH_sword_058,
连云枪 (残星扬旗) , RH_spear_122, RH_spear_122,
霜影 (云遮眉) , RH_bow_001, RH_bow_001,
青云飞 (已相顾) , RH_knife_077, RH_knife_077,
连城赤心·鹏煊剑 (绿野文章) (绿野文章·一) , RH_sword_164, RH_sword_164,
映满堂 (萧瑟穿云) , RH_bow_091, RH_bow_091,
诛妖杖 (棍胆) , RH_wand_015, RH_wand_015,
阿鼻刑杖 (伤追) , RH_wand_028, RH_wand_028,
宿沙双剑·璨 (冷露语) , RH_sword_288, RH_sword_288,
敛意·明心 , RH_wand_151c, RH_wand_151c, , S_少林橙武_c01_HD
紫凰 (波浪潮头) , Lh_stick_005, RH_flagon_025,
旋霄伞 (云燕成双) , San_002, San_002,
飞昂 (挽香) , RH_bow_012, RH_bow_012,
紫兽景天 (尘埃) , D007115, D007115,
金楼 (一生任性) , LH_piano_022, RH_blade_003,
鲸波荡世·夜行弩 (红烛落湘) (红烛落湘·一) , RH_bow_090, RH_bow_090,
潭梦落花 (迷花) (迷花·一) , D011008, D011008,
明光独尊 , RH_knife_014c, RH_knife_014c, RH_knife_014c_80, RH_knife_014c_80
虎贲·大月双剑 (几蒲团) (几蒲团·一) (几蒲团·二) , RH_sword_155c, RH_sword_155d,
山河定鼎·琅烈 , LH_shield_081c, RH_pike_081c, C_苍云橙武_c02_加强HD, C_苍云橙武_c01_加强HD
引龙驹 (孤屿) , LH_shield_006, RH_pike_006,
取戈 (斑斑化碧) , LH_BDdagger_004, RH_BDknife_004,
万里长风·北辰剑 (松竹云隐) (松竹云隐·一) , RH_sword_308b, RH_sword_308b,
铁马·流火弩 (夜归龙) , RH_bow_022, RH_bow_022,
肃戎 (万顷春水) , D007302b, D007302b,
断肠声 (中州遗恨) , RH_knife_007, RH_knife_007,
寂辞笔 (折星) , RH_brush_144, RH_brush_144,
暮萧 (图月勾) , RH_bow_077, RH_bow_077,
桃李清风·染草双剑 (白头人) , RH_sword_102, RH_sword_102,
荒城鬼境·残鸿笛 (碧炉凤) , D011098, D011098,
无情 (蚕鱼人烟·二) (蚕鱼人烟·三) (蚕鱼人烟·五) , RH_bow_049, RH_bow_049,
玄法·辩邪枪 (旧事不念) , RH_spear_074, RH_spear_074,
翠汋双剑 (蓝羽青林) (蓝羽青林·一) , RH_sword_211, RH_sword_211,
碎光流 (刺疆) , RH_knife_075, RH_knife_075,
九州纵横·无我棍 (若生) (若生·一) , RH_wand_143, RH_wand_143,
靖平九州·露秋弩 (寒鸦夜聚) (寒鸦夜聚·一) , RH_bow_054, RH_bow_054,
寻踪觅宝·水澹生烟 (送春日) , RH_spear_088b, RH_spear_088b,
仪羽剑 (鲲篷) , RH_sword_305, RH_sword_305,
体尘飞 (待秋风) , LH_shield_005, RH_pike_005,
苍术·赤松琴 (道吾不还) , LH_piano_021, RH_blade_002,
念同生 (幽玄月魄) , RH_knife_094, RH_knife_094,
泣血金蛇 (汉时雪) (汉时雪·一) (汉时雪·二) , RH_knife_038, RH_knife_038,
戾焆双刀 (残屠塔) (残屠塔·一) , RH_knife_054, RH_knife_054,
太康剑·流影 (霜州) , RH_Sword_023, RH_Sword_023,
无奏 (凝眸) , D007031, D007031,
癸鸾轻剑 (雨师霜刃) , RH_sword_270, RH_sword_270,
傲骨寒芒·风魄弩 (银月惊弦) , RH_bow_087, RH_bow_087,
阿里曼银雷 (后屠) , RH_Spear_009, RH_Spear_009,
长霞飞 (此夜相识) (此夜相识·一) (此夜相识·四) , RH_sword_195b, RH_sword_195b,
纯钧 (永昼) , RH_sword_022, RH_sword_022,
润江石 (孤屿) , LH_shield_006, RH_pike_006,
凤吐流霞 (横吐诺然·二) (横吐诺然·三) (横吐诺然·五) , D011069, D011069,
戏墨 (潇湘寒琼) , RH_brush_154, RH_brush_154,
辟寒刀 (拒霜) , D007042, D007042,
邪锥 (鬓云斑) , RH_bow_004, RH_bow_004,
叶花飞 (伤中绝) , LH_BDdagger_001, RH_BDknife_001,
清路尘剑 (浮世冰心) (浮世冰心·一) , RH_sword_183b, RH_sword_183b,
雪禄枪 (后屠) , RH_Spear_009, RH_Spear_009,
壬宸重剑 (不知器) , D007335, D007335,
摩诃 (粹冰) , RH_wand_027, RH_wand_027,
烛清剑 (限光) , RH_sword_286, RH_sword_286,
飞鸿归舟 (玉骨遥月) , RH_sword_332, RH_sword_332,
初晴新霭 (烟莱台) (烟莱台·一) , RH_sword_185, RH_sword_185,
絮雨 (朝三暮四) , RH_brush_039c, RH_brush_039c,
策马扬戈·泠诗琴 (书味满堂) , LH_piano_024, RH_blade_004,
浮景熙焰 (落花流水) , D011002, D011002,
木柄重剑 (秋水) , D007186, D007186,
画施琅 (斫良木) , LH_piano_004, RH_blade_004,
万千法门 (清原) , D010155, D010155,
桃李清风·盼清枪 (冻水) , RH_spear_071, RH_spear_071,
风姿 (点星入魂) , RH_brush_149, RH_brush_149,
残阳血 (朔漠独归) , RH_knife_093, RH_knife_093,
六龙 (昊芒) , RH_spear_109, RH_spear_109,
上林琴 (工之华) , LH_piano_005, RH_blade_005,
掀碧潮 (雷鸣) , D011005, D011005,
山河定鼎·琅烈 , LH_shield_081b, RH_pike_081b,
青铜双剑 (复仇者) , RH_sword_003, RH_sword_003,
威猛之剑 (踏遍) , D007166, D007166,
荆艾枪 (妖邪) , RH_spear_042, RH_spear_042,
噬灵蛛音 (今朝相伴) , D011001, D011001,
点苍弩 (淇水殇) , RH_bow_096, RH_bow_096,
五星七政 (千鹤响) , LH_piano_017, RH_blade_017,
澄碧棒 (雾沾襟) , Lh_stick_033, RH_flagon_069,
对蝶笛 (解危) (解危·一) , D011013d, D011013d,
苍梧之野 (豪气千石) , Lh_stick_005, RH_flagon_014,
剑挽狂澜·庭崇 (悬流) , LH_piano_070, RH_blade_001,
天狼枪 (肃山河) , RH_spear_145, RH_spear_145,
初见日月·宣夜 (丹链) , RH_sword_283, RH_sword_283,
太微剑 (云破月影) , RH_sword_341, RH_sword_341,
镖头斩刀 (刺锋) , San_028, San_028,
龙行赤竹笔 (休题) , RH_brush_012, RH_brush_012,
息心 (沧浪回崖) , RH_wand_157, RH_wand_157,
大厨大锅铲·刀功 (一诺千金) , RH_spear_045, RH_spear_045,
寻踪觅宝·拨云笔 (不断苔生) , RH_brush_101b, RH_brush_101b,
昼野·风拂剑 (苍然伟物) , RH_sword_105, RH_sword_105,
麟凤 (云遮眉) , RH_bow_001, RH_bow_001,
初见日月·冢原 (蔽寒天) , LH_shield_068, RH_pike_069,
湖影乱 (尘缘) , RH_Sword_012, RH_Sword_012,
子羽双剑 (追悔) , RH_Sword_023, RH_Sword_023,
风雨攀龙 , D007330, D007330,
未命名的装备 (谈笑) , RH_brush_018, RH_brush_018,
木有枝 (云燕成双) , San_002, San_002,
从武 (眉绝巅·二) (眉绝巅·三) (眉绝巅·五) , RH_spear_098, RH_spear_098,
百炼银龙剑 (坚牢) , RH_sword_015, RH_sword_015,
朔漠雪 (绝思人) (绝思人·一) , RH_bow_045, RH_bow_045,
舞阳 (炎辉) , RH_knife_084, RH_knife_084,
神都 (念临州) , RH_knife_018, RH_knife_018,
听焰 (碧千帆) , LH_shield_003, RH_pike_003,
苍毫 (六州) , RH_brush_007, RH_brush_007,
枫寒双剑 (相思不苦) (相思不苦·一) (相思不苦·四) , RH_sword_197b, RH_sword_197b,
塞上风 (寒江) , RH_spear_133, RH_spear_133,
疾风 (破寰) , LH_shield_076, RH_pike_076,
枕戈待战·空觉棍 (三藐) , RH_wand_145, RH_wand_145,
剑鸣朔漠·破敌枪 (青羽护) , RH_spear_127, RH_spear_127,
傲骨寒芒·落舞双剑 (思华年) , RH_sword_313, RH_sword_313,
引翠 (闻人泣) , LH_piano_026, RH_blade_006,
灵蜥炎刀 (绿寂调) , RH_knife_037b, RH_knife_037b,
凝黛 (丹链) , RH_sword_283, RH_sword_283,
和泽刀 (天下之枯荣) , RH_knife_043, RH_knife_043,
义薄云天·太霄剑 (归去来) , RH_Sword_061, RH_Sword_061,
千重叶 (此夜相识) (此夜相识·一) (此夜相识·四) , RH_sword_195b, RH_sword_195b,
寻踪觅宝·焦星 (流火观) , RH_knife_058, RH_knife_058,
测试装备 , LH_shield_061, RH_pike_062,
坤元 (催墨未浓) (催墨未浓·一) (催墨未浓·二) , RH_sword_123, RH_sword_123,
寻踪觅宝·销银笛 (洛城飞声) , D011078, D011078,
刮骨刃 (断念) , D007159, D007159,
宿沙棒·淡 (中宵携壶) , Lh_stick_016, RH_flagon_052,
业风 (开国戒持·二) (开国戒持·三) (开国戒持·五) , RH_wand_111, RH_wand_111,
霜威海岱·栖月重剑 (江河暮) (江河暮·一) , D007394b, D007394b,
覆雨翻云·匪霜笔 (青蛇碧风) (青蛇碧风·一) , RH_brush_130, RH_brush_130,
寻踪觅宝·鸾缕笛 (功成) , D011060b, D011060b,
瑞雪应律 (千古澎湃) , LH_piano_042, RH_blade_017,
白虹棒 (茅舍疏篱) , Lh_stick_006, RH_flagon_012,
搅海 (乱心月刃) , RH_knife_064, RH_knife_064,
非影·幽泉 (深邃) , D007060, D007060,
春山杏 (荒骨吹) , D011096, D011096,
长逝重剑 (华发) (华发·一) , D007312b, D007312b,
月照青枫·飞翮双剑 (谪仙一笑) (谪仙一笑·一) , RH_sword_194, RH_sword_194,
万花治疗威望武器 (黄昏雨) , RH_brush_039b, RH_brush_039b,
北寒剑 (荒台) , RH_sword_017, RH_sword_017,
鸣雷惊蛰 , D011042, D011042, , D011042惊蛰
沧海奔流·黄落棍 (诸佛摩诃) (诸佛摩诃·一) , RH_wand_132, RH_wand_132,
缘觉 (遗忘) , RH_wand_029, RH_wand_029,
景澈双刀 (巫瘴) , RH_knife_034b, RH_knife_034b,
凡尘 (乱香残夜) , San_024, San_024,
重清笛 (白帝惊) , D011088, D011088,
沧海极东 (别难) , RH_wand_078, RH_wand_078,
弦虚半月 (碧千帆) , LH_shield_003, RH_pike_003,
玉晨尊 (动群伦) , LH_piano_020, RH_blade_001,
